price,sqft_living,sqft_lot,bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,has_garage,renovated
,1983.0,5740.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,1215.0,768.0,1989.0,2011.0,98006,47.059878483223095,-121.90635671517035,no,yes
1648841.52,2352.0,4671.0,2.0,1.8,2.0,1.0,1.0,3.0,4.0,1075.0,101.0,1969.0,0.0,98005,47.048871525035814,-122.0836796989096,no,no
777101.57,2250.0,10170.0,2.0,1.7,1.0,0.0,1.0,4.0,6.0,1996.0,254.0,1981.0,0.0,98006,46.9957523299646,-122.04078862203083,no,no
897518.07,2364.0,9259.0,2.0,2.1,2.0,1.0,1.0,5.0,4.0,1853.0,511.0,1981.0,0.0,98101,46.99173127296783,-121.9965093209246,yes,no
626188.33,629.0,976.0,2.0,2.3,1.0,1.0,3.0,2.0,6.0,533.0,96.0,1971.0,0.0,98004,47.08915154962955,-122.02578470685043,no,no
643608.59,1019.0,13613.0,3.0,3.6,2.0,1.0,2.0,1.0,5.0,648.0,371.0,2014.0,0.0,98101,46.985471576530905,-122.00156575030715,yes,no
922521.55,1877.0,7529.0,,1.0,2.0,1.0,0.0,1.0,10.0,1681.0,196.0,2015.0,0.0,98004,47.03742168494189,-122.00587989708552,no,no
911123.93,1610.0,2445.0,4.0,4.3,2.0,1.0,4.0,2.0,10.0,1369.0,241.0,1953.0,0.0,98103,46.98093065039051,-121.97962240699108,no,no
843209.34,1790.0,13944.0,2.0,2.1,2.0,0.0,3.0,3.0,11.0,1149.0,641.0,2016.0,0.0,98006,46.906905845993116,-122.04804827469769,yes,no
737041.41,1288.0,11128.0,4.0,3.1,2.0,1.0,2.0,2.0,5.0,,73.0,1978.0,2020.0,98105,46.938633045109704,-121.99036701748778,no,yes
768886.88,2328.0,1677.0,3.0,4.0,1.0,0.0,0.0,1.0,3.0,1415.0,913.0,2006.0,1970.0,98005,47.020296044243096,-122.05580637114547,no,yes
968779.88,2267.0,16886.0,5.0,4.3,2.0,1.0,4.0,2.0,3.0,1859.0,408.0,2005.0,0.0,98103,47.03505658498025,-122.02059289580158,no,no
804340.09,1840.0,,3.0,3.2,1.0,0.0,3.0,2.0,11.0,1214.0,626.0,1992.0,0.0,98101,47.020460670461006,-122.08683756637551,yes,no
1122644.76,2476.0,7949.0,,2.2,2.0,1.0,2.0,3.0,12.0,2109.0,367.0,2002.0,0.0,98005,47.057297475069674,-122.02022740957258,no,no
813428.61,2081.0,15951.0,3.0,3.1,2.0,1.0,0.0,1.0,5.0,1300.0,781.0,1998.0,0.0,98102,47.019563007761704,-122.0286368791454,yes,no
687470.41,1284.0,8796.0,4.0,3.8,2.0,0.0,0.0,4.0,11.0,807.0,477.0,2010.0,2016.0,98005,46.961238264683296,-121.95282103216307,no,yes
939310.78,2021.0,7860.0,3.0,3.4,1.0,1.0,1.0,3.0,8.0,1543.0,478.0,1980.0,1993.0,98105,47.029715109073685,-122.00296300361597,yes,yes
472394.73,1225.0,4698.0,3.0,2.2,1.0,0.0,1.0,2.0,4.0,1161.0,64.0,2002.0,0.0,98006,47.0084803980465,-121.99387483834481,yes,no
897210.56,2327.0,10909.0,3.0,3.0,1.0,0.0,,5.0,6.0,1621.0,706.0,2019.0,1977.0,98103,46.971222099752524,-122.00112260142485,yes,yes
703110.31,1770.0,10383.0,2.0,1.7,1.0,0.0,2.0,4.0,5.0,1441.0,329.0,2017.0,0.0,98103,47.02362596507334,-122.1064554422203,no,no
808407.15,1689.0,8073.0,2.0,1.7,2.0,1.0,0.0,1.0,10.0,1320.0,369.0,1960.0,0.0,98005,47.00396850830087,-122.09984731300858,yes,no
561130.56,1391.0,4050.0,5.0,5.0,2.0,0.0,1.0,1.0,4.0,1245.0,146.0,1985.0,0.0,98005,46.96974997245563,-122.01593388166904,no,no
1014589.13,2534.0,8650.0,4.0,4.5,1.0,1.0,,1.0,4.0,1776.0,758.0,1986.0,0.0,98101,46.99110671132185,-121.9860720005913,no,no
943350.06,1707.0,7651.0,1.0,1.0,1.0,1.0,4.0,3.0,10.0,1356.0,351.0,1994.0,0.0,98005,47.07067835677711,-122.011743259636,yes,no
613720.31,1543.0,1333.0,5.0,5.0,1.0,0.0,0.0,2.0,6.0,1439.0,104.0,1995.0,1977.0,98105,47.069044390803484,-122.04320294874667,no,yes
657902.24,1589.0,800.0,4.0,4.0,2.0,0.0,3.0,2.0,5.0,,451.0,2010.0,0.0,98006,47.00940720696353,-122.01201565596828,yes,no
1007876.31,2119.0,10826.0,1.0,1.0,1.0,0.0,4.0,3.0,11.0,1598.0,521.0,1987.0,0.0,98004,47.00286335789436,-122.01635427670222,yes,no
949669.53,2019.0,800.0,4.0,3.9,2.0,0.0,2.0,3.0,12.0,1840.0,179.0,1999.0,1972.0,98005,46.928347700636806,-121.96104983755588,yes,yes
936328.3,2048.0,9027.0,3.0,2.9,1.0,1.0,1.0,1.0,8.0,1467.0,581.0,2013.0,0.0,98103,47.08596825566831,-121.9638490009067,yes,no
871538.81,2058.0,5610.0,,4.7,2.0,0.0,2.0,1.0,11.0,1509.0,549.0,1957.0,0.0,98102,47.051817094368396,,yes,no
1079112.65,3085.0,14541.0,3.0,3.2,1.0,0.0,1.0,4.0,11.0,2179.0,906.0,1995.0,0.0,98005,47.03759757853522,-122.00249621269246,yes,no
854327.64,1556.0,5533.0,3.0,3.1,1.0,1.0,1.0,5.0,8.0,1375.0,181.0,1976.0,,98101,46.886263464145465,-121.98619003569038,yes,no
926267.57,1493.0,11297.0,2.0,1.2,,1.0,4.0,5.0,11.0,1382.0,111.0,2014.0,0.0,98004,47.00204613253279,-121.97876778022797,yes,no
696934.45,,6015.0,2.0,1.2,2.0,1.0,,,3.0,1077.0,235.0,1989.0,0.0,98006,46.99364356458405,-121.91737009546048,no,no
969386.51,,8569.0,4.0,4.2,2.0,1.0,2.0,3.0,3.0,1775.0,395.0,1992.0,0.0,98006,47.03414077191503,-122.00140738156708,,no
1098850.86,2477.0,11684.0,5.0,4.6,1.0,1.0,0.0,5.0,11.0,1825.0,652.0,2003.0,0.0,98005,46.97744845932271,-121.94156275978968,no,no
892269.54,1732.0,5687.0,5.0,5.0,1.0,1.0,4.0,5.0,4.0,1047.0,685.0,1967.0,1975.0,98105,46.98841448917732,-122.05800415388218,no,yes
661335.49,,12983.0,4.0,4.4,2.0,0.0,0.0,5.0,10.0,856.0,440.0,1988.0,0.0,,47.030970646947736,-122.03188369122753,no,no
648710.65,1305.0,3032.0,4.0,3.4,1.0,0.0,3.0,1.0,7.0,851.0,454.0,2004.0,0.0,98101,,-122.10679122085057,yes,no
952874.88,2190.0,9473.0,3.0,2.3,1.0,0.0,1.0,1.0,10.0,1403.0,787.0,2005.0,1977.0,98005,46.971297865829534,-121.99243467299951,yes,yes
,,12613.0,2.0,2.8,1.0,1.0,1.0,3.0,9.0,1862.0,384.0,1966.0,1998.0,98102,47.00966633198805,-121.96762380225705,no,yes
811171.57,2126.0,11300.0,4.0,4.2,2.0,1.0,0.0,3.0,3.0,1377.0,749.0,2009.0,0.0,98005,47.06692428516748,-122.12776925548732,no,no
703247.18,1401.0,17582.0,2.0,1.8,1.0,1.0,1.0,5.0,6.0,882.0,519.0,1961.0,0.0,98103,47.040423486861165,-121.99058568162046,no,no
997268.51,1939.0,4183.0,2.0,1.5,2.0,1.0,3.0,2.0,10.0,1423.0,516.0,1968.0,0.0,98005,47.053770203446625,-121.9697894826384,yes,no
,,1104.0,5.0,4.7,1.0,0.0,2.0,5.0,12.0,1285.0,585.0,2010.0,0.0,98004,47.003165840310764,-121.97263812018308,,no
943746.23,1931.0,3028.0,3.0,2.4,2.0,1.0,0.0,5.0,11.0,1257.0,674.0,1993.0,0.0,98006,47.07475390118915,-122.05979305600174,yes,no
968807.23,2323.0,11302.0,2.0,2.4,1.0,0.0,1.0,5.0,11.0,1513.0,810.0,1988.0,,98005,46.91294087877493,-121.96134400134538,yes,no
980896.38,1934.0,10490.0,5.0,4.6,,1.0,0.0,1.0,12.0,1334.0,600.0,1989.0,1983.0,98006,47.101111960920065,-121.99953477513073,no,yes
1003792.79,2207.0,8511.0,5.0,5.0,2.0,0.0,2.0,2.0,11.0,1739.0,468.0,2018.0,2011.0,98102,47.107587948759004,-121.97044811905417,yes,yes
831338.71,1841.0,2385.0,2.0,1.8,1.0,0.0,4.0,2.0,8.0,,248.0,1966.0,0.0,98103,47.022830817476844,-122.00629289454236,yes,no
975216.06,1973.0,11834.0,3.0,2.5,1.0,1.0,4.0,4.0,6.0,1773.0,200.0,,2006.0,98105,47.04161313187178,-121.98094813164722,yes,yes
1015233.54,2179.0,1876.0,3.0,2.8,1.0,1.0,4.0,4.0,8.0,1880.0,299.0,1984.0,0.0,98101,46.99810000679974,-121.94453820999796,yes,no
676996.89,926.0,13795.0,4.0,2.7,1.0,1.0,0.0,3.0,10.0,759.0,167.0,2010.0,0.0,98101,46.98952158184633,-122.01020110270512,yes,no
837022.34,1608.0,22287.0,5.0,4.9,1.0,1.0,2.0,1.0,7.0,1476.0,132.0,1988.0,0.0,98101,46.96945648123178,-121.98579475955516,yes,no
782489.37,1518.0,9832.0,3.0,2.9,2.0,0.0,0.0,3.0,11.0,1187.0,331.0,2001.0,0.0,98005,,-121.93751156523716,yes,no
846687.27,1417.0,10916.0,4.0,4.4,2.0,1.0,2.0,4.0,10.0,1164.0,253.0,2008.0,0.0,98105,47.02779667378029,-122.00666150824048,yes,no
790865.73,1635.0,5536.0,3.0,2.1,2.0,1.0,2.0,3.0,5.0,1216.0,419.0,2013.0,0.0,98005,47.020994192358174,-122.0562698082709,no,no
1169975.23,2697.0,800.0,5.0,5.0,2.0,1.0,3.0,2.0,12.0,1927.0,770.0,1982.0,0.0,98005,47.09933015358456,-121.9661978437922,yes,no
667093.57,1281.0,4986.0,3.0,3.4,2.0,0.0,1.0,3.0,11.0,917.0,364.0,1982.0,0.0,98101,47.00501372729013,-121.92825611946954,yes,no
818471.27,2381.0,2536.0,2.0,2.6,1.0,0.0,0.0,4.0,8.0,1552.0,,1955.0,0.0,98005,46.92555857193275,-121.93556082435911,no,no
560800.1,790.0,800.0,3.0,3.0,1.0,1.0,2.0,3.0,4.0,695.0,95.0,1955.0,0.0,98102,47.08221553106117,-121.96425061168355,yes,no
734354.0,1599.0,16612.0,5.0,5.0,1.0,0.0,2.0,5.0,5.0,990.0,609.0,1984.0,0.0,98103,46.93895228608701,-122.11720787920459,yes,no
1039760.09,1898.0,9364.0,4.0,3.3,2.0,1.0,3.0,2.0,11.0,1587.0,311.0,2003.0,0.0,98006,46.97203045372473,-122.03179163634981,yes,no
855738.56,2152.0,9898.0,1.0,1.4,1.0,1.0,0.0,4.0,3.0,1942.0,210.0,2009.0,0.0,98103,47.01358715706755,,no,no
983040.7,2227.0,6455.0,1.0,1.0,1.0,1.0,3.0,5.0,7.0,1724.0,503.0,1979.0,0.0,98006,47.02085875411316,,yes,no
965833.27,2276.0,7136.0,3.0,2.2,2.0,1.0,2.0,2.0,9.0,1422.0,854.0,1990.0,0.0,98105,46.92772808405347,-121.91558675827797,no,
687265.35,1591.0,12823.0,5.0,4.4,1.0,0.0,3.0,,5.0,1193.0,398.0,2007.0,0.0,98101,46.96267638818132,-122.05402708167786,yes,no
787935.35,1523.0,7838.0,3.0,3.0,1.0,0.0,4.0,1.0,11.0,1096.0,427.0,1972.0,0.0,98005,46.92596087693637,-121.88788989557018,yes,no
996414.13,2315.0,10653.0,3.0,2.6,1.0,,1.0,2.0,8.0,2187.0,128.0,1961.0,1999.0,98101,47.03108565316613,-122.01911639816372,yes,yes
734066.12,1685.0,7020.0,4.0,4.2,1.0,0.0,3.0,1.0,3.0,1419.0,266.0,2015.0,0.0,98004,47.059168994235144,-122.03834506567367,no,no
492140.82,1035.0,6289.0,3.0,2.1,1.0,0.0,0.0,4.0,6.0,882.0,153.0,1988.0,1978.0,98105,46.938908097787674,-121.95773976438441,yes,yes
755882.56,,965.0,5.0,3.9,1.0,1.0,4.0,1.0,6.0,874.0,246.0,1961.0,0.0,98101,47.04978299765239,-121.95378478665879,yes,no
645261.64,1248.0,800.0,4.0,4.7,2.0,1.0,2.0,4.0,,1059.0,189.0,1967.0,0.0,98105,47.04653893721623,-121.96750265444881,no,no
930090.78,2098.0,6692.0,4.0,4.5,1.0,0.0,,3.0,12.0,1790.0,308.0,1973.0,0.0,98103,,-122.0384727733403,yes,no
880589.63,1885.0,8282.0,4.0,3.5,2.0,1.0,3.0,5.0,6.0,1175.0,710.0,1964.0,0.0,98101,46.90087104820661,-121.97489859361305,yes,no
868586.83,2214.0,1569.0,4.0,4.0,1.0,0.0,3.0,2.0,8.0,1501.0,713.0,1981.0,0.0,98105,46.94643719904026,-122.05167788719503,no,no
692502.25,1544.0,7828.0,1.0,1.5,1.0,0.0,1.0,2.0,8.0,933.0,611.0,2007.0,0.0,98101,46.97023712065456,-122.03986229319901,yes,no
872470.85,1895.0,8269.0,3.0,3.2,1.0,1.0,3.0,2.0,5.0,1475.0,420.0,2002.0,0.0,98105,47.07708354234046,-122.00474350820521,yes,no
2536928.64,4350.0,800.0,1.0,1.1,2.0,,2.0,3.0,8.0,1972.0,203.0,2015.0,1985.0,98102,46.994084871249186,-122.04099817999506,no,yes
848234.56,1614.0,3424.0,3.0,3.5,2.0,1.0,3.0,2.0,6.0,1313.0,301.0,2009.0,0.0,98005,46.94965860120048,-121.94736258760607,yes,no
714300.38,2074.0,10036.0,1.0,1.0,1.0,0.0,3.0,1.0,3.0,1608.0,466.0,1972.0,0.0,98006,47.0073924277476,-122.02890837659548,yes,no
785712.29,1403.0,9935.0,3.0,3.0,2.0,1.0,,5.0,7.0,1296.0,107.0,1954.0,,98006,46.93523261645672,-122.01102281091406,yes,no
766742.55,1582.0,2232.0,2.0,2.0,1.0,1.0,0.0,4.0,,1045.0,537.0,1960.0,0.0,98006,47.02571700251032,-122.0440099140837,,no
664765.72,1571.0,8792.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,984.0,587.0,2006.0,0.0,98101,46.95111679703641,-121.94811950942892,yes,no
662029.03,1082.0,13112.0,1.0,1.0,2.0,0.0,4.0,4.0,10.0,997.0,85.0,1974.0,2020.0,98105,46.95837381299047,-122.03330634871749,yes,yes
870345.88,2092.0,11885.0,3.0,3.0,2.0,0.0,2.0,2.0,9.0,1916.0,176.0,2001.0,0.0,,47.018774602421594,-121.94289944486276,yes,no
798883.7,1518.0,7524.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,1274.0,244.0,1982.0,0.0,98101,47.08751168414011,-121.94657282073588,yes,no
931304.07,1807.0,5660.0,5.0,4.5,1.0,1.0,1.0,3.0,8.0,1240.0,567.0,2013.0,0.0,98103,47.10988937801179,-122.02229704754727,yes,no
1030400.54,2088.0,4853.0,4.0,4.4,1.0,1.0,3.0,4.0,6.0,1962.0,126.0,1986.0,0.0,98105,46.94800672471102,-121.99851660958694,yes,no
992150.31,2068.0,10339.0,4.0,3.5,2.0,1.0,2.0,1.0,9.0,1795.0,273.0,2013.0,0.0,98103,46.97016968366423,-122.0236854488284,yes,no
700978.95,2199.0,8976.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,1838.0,361.0,1967.0,0.0,98101,47.02577661425187,-121.97271390023715,no,no
876885.03,1741.0,11147.0,4.0,3.9,2.0,1.0,0.0,5.0,9.0,1180.0,561.0,2005.0,0.0,98103,,-122.00972356556645,yes,no
731883.55,1546.0,8659.0,4.0,4.2,2.0,1.0,1.0,2.0,3.0,1205.0,341.0,1987.0,2000.0,98102,,-122.02087403318863,yes,yes
715518.45,1752.0,12094.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1556.0,196.0,1963.0,0.0,98101,47.004366840945316,-121.997691041838,no,no
535156.05,788.0,8473.0,1.0,1.4,1.0,1.0,1.0,3.0,5.0,,78.0,1966.0,0.0,98105,46.975642851171806,-122.0791107881763,yes,no
454525.92,932.0,11923.0,3.0,2.7,2.0,0.0,1.0,4.0,4.0,742.0,190.0,1972.0,0.0,98101,46.90379894004848,,no,no
518007.27,1006.0,12354.0,4.0,4.6,1.0,0.0,1.0,5.0,7.0,788.0,218.0,1960.0,0.0,98006,46.93314161100038,-121.96751940149304,yes,no
541230.92,1202.0,3977.0,1.0,1.0,2.0,0.0,1.0,4.0,4.0,1014.0,188.0,2016.0,0.0,98005,46.97161127701795,-121.99309728098694,yes,no
802822.03,2040.0,800.0,1.0,1.0,2.0,1.0,3.0,1.0,,1601.0,439.0,1965.0,0.0,98006,47.00294075099912,-121.95241717171376,yes,
576164.64,1257.0,15717.0,2.0,3.0,2.0,0.0,2.0,5.0,3.0,938.0,319.0,1992.0,2016.0,98101,47.05040514301321,-122.01886490439304,yes,yes
793095.03,1573.0,9283.0,3.0,2.9,1.0,0.0,2.0,4.0,11.0,991.0,582.0,1990.0,0.0,98105,47.017717405754105,-122.02296453561631,,no
990065.99,2580.0,800.0,3.0,3.6,1.0,0.0,0.0,4.0,,1662.0,918.0,,2015.0,98005,47.047376971858384,-122.05586595019881,yes,yes
707768.27,1586.0,4431.0,3.0,3.0,1.0,0.0,2.0,5.0,5.0,1374.0,212.0,1994.0,0.0,98004,47.00133621679236,-122.02028724517744,no,no
1031523.29,2243.0,11859.0,2.0,2.2,1.0,1.0,4.0,4.0,4.0,1365.0,878.0,2015.0,0.0,98103,46.96475270265315,-121.90170536875178,no,no
793877.08,1240.0,6602.0,1.0,1.0,2.0,1.0,3.0,2.0,11.0,767.0,473.0,2018.0,1981.0,,46.99081250230647,-121.98622283174068,no,yes
697653.47,1677.0,5440.0,1.0,1.4,1.0,0.0,2.0,3.0,9.0,1537.0,140.0,2012.0,2003.0,98103,47.03477586737346,-122.02927681078991,yes,yes
751884.17,1230.0,15004.0,1.0,1.0,2.0,1.0,1.0,3.0,11.0,1041.0,189.0,1982.0,0.0,98006,47.05162810846634,-122.05030709690335,no,no
698505.91,1597.0,2764.0,4.0,3.5,2.0,,1.0,3.0,4.0,960.0,637.0,2001.0,1977.0,98101,46.99260626577781,-122.0799265362883,no,yes
985713.84,2304.0,4009.0,4.0,3.7,2.0,1.0,0.0,4.0,6.0,1634.0,670.0,1963.0,1985.0,98004,46.953544236880845,-122.04151967847037,yes,yes
428252.76,764.0,9057.0,3.0,3.0,2.0,0.0,0.0,4.0,4.0,662.0,102.0,2012.0,1980.0,98101,47.01678290797436,-121.96204032457307,no,yes
895480.55,2061.0,9952.0,1.0,1.0,2.0,1.0,3.0,1.0,7.0,1538.0,523.0,1963.0,0.0,98006,47.02389904819211,-122.0213515886621,yes,no
777056.68,1943.0,10482.0,3.0,3.4,1.0,0.0,4.0,3.0,4.0,1484.0,459.0,1958.0,0.0,98103,47.06163595430266,-122.04790858740712,no,no
746401.95,1444.0,12556.0,5.0,,2.0,1.0,4.0,1.0,3.0,1098.0,346.0,2008.0,0.0,98101,46.96606185635202,-122.0424091892017,yes,no
590837.19,932.0,8993.0,2.0,1.5,2.0,0.0,3.0,3.0,8.0,625.0,307.0,2003.0,0.0,98005,46.966610137286715,-121.967525960003,yes,no
977027.34,1843.0,10447.0,3.0,2.6,1.0,1.0,4.0,3.0,12.0,1571.0,272.0,1959.0,1990.0,98006,47.037808009876976,-122.00406315376908,yes,yes
761779.79,1482.0,6704.0,3.0,2.3,1.0,0.0,2.0,2.0,9.0,943.0,539.0,2018.0,1974.0,98006,46.979628321449546,-122.03136022071051,yes,yes
917416.93,1940.0,8313.0,2.0,3.0,2.0,1.0,1.0,5.0,10.0,1508.0,432.0,1957.0,0.0,98105,46.97751579086604,-122.01541941847773,yes,no
965257.78,1813.0,8538.0,3.0,3.2,1.0,1.0,1.0,2.0,11.0,1196.0,617.0,1953.0,2014.0,98101,47.062706993507014,-121.88970584372262,yes,yes
1032342.05,2761.0,9075.0,3.0,3.2,1.0,0.0,1.0,1.0,12.0,1702.0,1059.0,2017.0,2011.0,98102,46.93144971968594,-121.93901884628971,no,yes
863474.85,1656.0,11863.0,3.0,2.3,2.0,1.0,3.0,2.0,4.0,1077.0,579.0,1965.0,,98101,47.102810156988774,-121.9265687335165,yes,yes
616076.42,1186.0,10776.0,4.0,4.0,2.0,1.0,0.0,4.0,,1072.0,114.0,1966.0,0.0,,46.96936822934461,-122.08760519728149,yes,no
801738.19,1908.0,8221.0,3.0,3.3,2.0,0.0,4.0,1.0,9.0,1262.0,646.0,2006.0,0.0,98102,47.04333642014004,-122.00755511389185,yes,no
871237.84,1932.0,3954.0,1.0,1.0,2.0,0.0,3.0,,11.0,1347.0,585.0,1993.0,2006.0,98105,46.99456001690373,-122.03223945495755,yes,yes
1116303.84,2616.0,8338.0,1.0,1.5,2.0,1.0,1.0,3.0,10.0,1696.0,920.0,1986.0,0.0,98005,47.013568114243604,-121.97280799020831,yes,no
1195022.24,2301.0,7860.0,3.0,4.2,2.0,1.0,3.0,5.0,10.0,1973.0,328.0,2020.0,0.0,98004,46.98686067501191,-121.94700965607738,yes,no
868578.89,2014.0,8966.0,5.0,4.5,2.0,1.0,0.0,1.0,6.0,1522.0,492.0,1956.0,0.0,98102,,-121.983678689354,no,
1141650.19,2678.0,19033.0,1.0,1.0,2.0,1.0,2.0,1.0,6.0,2491.0,187.0,2015.0,2019.0,98004,46.98263380629902,-122.04362350213297,no,yes
492134.87,1087.0,5381.0,1.0,1.0,2.0,1.0,0.0,,3.0,905.0,182.0,1969.0,,98102,46.97135267640775,-122.03305066689987,,no
601163.51,1416.0,10111.0,4.0,4.8,2.0,0.0,0.0,1.0,6.0,1113.0,303.0,1994.0,0.0,98105,47.0906670912935,-121.96897145669335,no,no
506009.4,1244.0,13342.0,3.0,3.5,2.0,0.0,0.0,4.0,4.0,1032.0,212.0,1973.0,0.0,98006,47.00146913485069,-121.96399634133952,no,no
740624.6,1566.0,8490.0,2.0,1.9,2.0,0.0,3.0,2.0,12.0,962.0,604.0,1970.0,0.0,98101,46.96621522194902,-121.99295238137813,no,no
515304.77,974.0,19689.0,2.0,2.0,1.0,0.0,3.0,3.0,3.0,908.0,66.0,1972.0,,98006,46.92548567050441,-121.99351045403053,yes,yes
971314.63,2181.0,6110.0,,3.6,2.0,,4.0,1.0,6.0,2039.0,142.0,1989.0,0.0,98102,47.0932789015518,-121.99749387321157,no,no
1082690.91,1667.0,9620.0,3.0,3.4,,1.0,4.0,4.0,11.0,1161.0,506.0,2012.0,0.0,98004,46.97240373117724,-121.98654517211264,yes,no
646939.9,918.0,4006.0,4.0,3.8,2.0,0.0,4.0,3.0,12.0,752.0,166.0,1957.0,0.0,98102,47.103091911925056,-121.9642019512414,yes,no
723305.46,1191.0,6242.0,2.0,1.9,2.0,1.0,4.0,1.0,6.0,799.0,392.0,1997.0,2011.0,98102,47.01994271757064,-121.96849171463818,yes,yes
729961.52,1988.0,9245.0,3.0,3.3,2.0,0.0,0.0,2.0,7.0,1574.0,414.0,2011.0,0.0,98105,47.007144260015124,-121.99882072830583,yes,no
1014302.26,2303.0,12232.0,,4.9,1.0,0.0,3.0,1.0,8.0,2003.0,300.0,2002.0,,98103,47.0084921906164,-122.00245247086637,yes,yes
1230543.61,2998.0,9595.0,2.0,1.9,1.0,1.0,,1.0,11.0,2785.0,213.0,2019.0,0.0,98105,47.11079754696384,-122.0043649154535,yes,no
1336139.21,3548.0,14296.0,2.0,2.0,1.0,1.0,0.0,4.0,10.0,2550.0,998.0,1950.0,0.0,98102,46.89038907152896,-122.03901653220998,yes,no
824450.0,2049.0,7525.0,1.0,1.4,1.0,1.0,0.0,3.0,8.0,1726.0,323.0,1975.0,0.0,98006,47.01071707597538,-122.0396514074666,,no
757774.99,1206.0,6339.0,4.0,4.8,1.0,0.0,4.0,5.0,6.0,1026.0,180.0,1980.0,2009.0,98004,46.986739819623494,-121.97280218625984,yes,yes
573492.25,521.0,21520.0,1.0,1.3,1.0,1.0,4.0,2.0,6.0,353.0,168.0,1988.0,0.0,98005,46.98934533074585,-122.03564344431973,yes,no
936123.2,,9971.0,2.0,2.4,1.0,,1.0,4.0,9.0,1608.0,353.0,1972.0,0.0,98005,47.0074655926071,-121.95930330660435,no,
688993.31,1312.0,4403.0,4.0,,1.0,0.0,0.0,4.0,11.0,1088.0,224.0,1967.0,0.0,98005,46.9866872925252,-122.00256713555179,yes,no
583587.53,1551.0,4529.0,1.0,1.0,2.0,0.0,1.0,4.0,3.0,1345.0,206.0,2010.0,,98101,47.00940653335942,,no,yes
752417.12,1433.0,3287.0,5.0,5.0,2.0,0.0,0.0,5.0,10.0,1361.0,72.0,1966.0,1992.0,98004,46.998821126892246,-121.96815205982226,yes,yes
967449.63,1716.0,12683.0,3.0,,1.0,1.0,3.0,4.0,7.0,,663.0,2017.0,1983.0,98006,46.93432209109077,-121.9578535037614,yes,yes
788402.35,2440.0,,2.0,1.3,2.0,0.0,1.0,4.0,4.0,1636.0,804.0,1952.0,1973.0,98101,47.01906830189054,-122.0238182878251,no,yes
